name,album,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity,cluster
Long Live,Speak Now,0.0426,0.412,0.682,0.106,-4.319,203.959,0.146,51,1
Teardrops on My Guitar - Pop Version,Taylor Swift,0.0402,0.459,0.753,0.0863,-3.827,199.997,0.483,55,1
Sparks Fly,Speak Now,0.0387,0.608,0.785,0.158,-2.976,114.985,0.376,53,1
All Too Well,Red,0.0382,0.602,0.609,0.127,-7.803,93.06,0.337,44,1
Welcome To New York,1989,0.038,0.793,0.634,0.304,-4.807,117.023,0.615,59,3
The Lucky One,Red,0.0371,0.706,0.499,0.132,-7.675,117.937,0.545,36,5
Fearless,Fearless,0.0364,0.598,0.714,0.31,-4.397,99.979,0.467,50,3
The Last Time,Red,0.035,0.505,0.443,0.0921,-7.039,94.069,0.123,38,1
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,0.033,0.61,0.83,0.118,-4.105,182.162,0.728,75,2
Dress,reputation,0.0329,0.719,0.469,0.169,-8.792,120.085,0.0851,75,0
The Way I Loved You,Fearless,0.0322,0.436,0.712,0.111,-3.689,160.886,0.379,48,1
Miss Americana & The Heartbreak Prince,Lover,0.028,0.662,0.747,0.138,-6.926,150.088,0.487,79,2
London Boy,Lover,0.0246,0.695,0.71,0.133,-6.639,157.925,0.557,74,2
Starlight,Red,0.0213,0.649,0.777,0.221,-5.804,126.018,0.587,37,5
Back To December,Speak Now,0.0202,0.517,0.606,0.324,-5.797,141.929,0.296,62,3
Mary's Song (Oh My My My),Taylor Swift,0.0177,0.403,0.627,0.182,-5.28,74.9,0.374,57,1
I Almost Do,Red,0.0173,0.567,0.481,0.182,-7.357,145.865,0.233,39,1
Better Than Revenge,Speak Now,0.0167,0.519,0.917,0.359,-3.185,145.882,0.652,54,3
Holy Ground,Red,0.0162,0.627,0.816,0.0966,-6.698,157.043,0.648,37,5
I Wish You Would,1989,0.016,0.649,0.898,0.109,-5.963,118.027,0.503,42,5
This Is Why We Can't Have Nice Things,reputation,0.0156,0.567,0.789,0.382,-5.986,163.96,0.438,70,3
Paper Rings,Lover,0.0129,0.811,0.719,0.0742,-6.553,103.979,0.865,78,5
Should've Said No,Taylor Swift,0.0103,0.476,0.777,0.196,-3.771,167.964,0.472,60,1
We Are Never Ever Getting Back Together,Red,0.00957,0.628,0.676,0.102,-5.911,85.984,0.75,59,5
You Need To Calm Down,Lover,0.00929,0.771,0.671,0.0637,-5.617,85.026,0.714,80,5
I Think He Knows,Lover,0.00889,0.897,0.366,0.0715,-8.029,100.003,0.416,72,0
King Of My Heart,reputation,0.00882,0.675,0.703,0.0391,-7.902,110.01,0.314,72,2
End Game,reputation,0.00845,0.649,0.589,0.108,-6.237,159.073,0.151,74,2
The Outside,Taylor Swift,0.00491,0.589,0.805,0.24,-4.055,112.982,0.591,54,3
Change,Fearless,0.00471,0.548,0.756,0.117,-4.175,96.038,0.224,40,1
Getaway Car,reputation,0.00465,0.562,0.689,0.0888,-6.745,172.054,0.351,79,2
How You Get The Girl,1989,0.00463,0.764,0.659,0.0915,-6.136,119.982,0.525,43,5
Mine - POP Mix,Speak Now,0.00461,0.696,0.768,0.101,-3.863,121.05,0.692,42,5
I Knew You Were Trouble.,Red,0.00454,0.622,0.469,0.0398,-6.798,77.019,0.679,61,5
I'm Only Me When I'm With You,Taylor Swift,0.00452,0.563,0.934,0.103,-3.629,143.964,0.518,56,5
A Perfectly Good Heart,Taylor Swift,0.00349,0.483,0.751,0.128,-5.726,156.092,0.268,53,1
Style,1989,0.00256,0.598,0.786,0.117,-5.572,95.021,0.456,56,5
22,Red,0.00215,0.658,0.729,0.0752,-6.561,104.007,0.668,53,5
All You Had To Do Was Stay,1989,0.00196,0.602,0.735,0.105,-5.778,96.969,0.472,53,5
Out Of The Woods,1989,0.00103,0.552,0.841,0.337,-6.938,91.993,0.342,46,3
The Story Of Us,Speak Now,0.000315,0.575,0.855,0.0419,-4.827,139.92,0.84,48,5
State Of Grace,Red,0.000197,0.588,0.825,0.0885,-5.882,129.968,0.397,40,1
